duration,router,agents,graph,resolver,ewma-tau,max-age,rc,time_s,orders,conflicts,avg_wait,avg_reverse,avg_speed,avg_order_time,sim_speed
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,20.189,62693,-,157.78970858455176,-,1.8568192908251338,171.8944101697583,2170.906
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.613,60689,-,176.77817654314407,-,1.8475664021077625,177.74184569238355,2237.855
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,20.420,63031,-,153.65723274668485,-,1.8610496737760933,171.31984997432866,2147.735
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,20.013,62122,-,162.2206974346109,-,1.850357128960244,174.0078033174772,2191.020
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,20.078,62213,-,163.82797522200653,-,1.8501532813972819,173.60184686864292,2184.828
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.755,61842,-,170.87440966365543,-,1.850139076256863,174.69674090993942,2220.076
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.633,61541,-,174.23166369602149,-,1.8470718478449268,175.49742875381676,2235.090
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,20.280,61231,-,170.56571909145234,-,1.8500666181737981,176.11112139663211,2163.008
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.971,61910,-,167.5632021771821,-,1.857115346654393,174.49112339101748,2197.593
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.496,60119,-,188.20727808171083,-,1.8501245378840436,179.70530580789045,2250.721
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.149,59293,-,196.093636035667,-,1.8439268120273908,181.88975074491057,2302.076
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.484,60143,-,185.48420620614183,-,1.8539591886744458,179.30121598144325,2253.466
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.117,59880,-,188.52779644270947,-,1.8436766691932804,180.5049042836917,2298.857
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,18.877,59092,-,198.27054780019105,-,1.8352372582565708,182.15551594932182,2326.807
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.718,61029,-,174.5245419685482,-,1.85458626906282,176.5714470958985,2226.400
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.602,60302,-,185.58889542171804,-,1.8405003231225379,178.7984016750181,2261.174
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,20.215,62348,-,156.82939784172822,-,1.8487524186041762,172.68903484638466,2173.678
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.177,59633,-,196.04678717597133,-,1.8455810228355967,181.10003363512496,2291.443
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.958,62511,-,162.4404290305093,-,1.849161385851857,172.68419563122495,2201.282
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,20.072,62374,-,163.00482396160794,-,1.8489192158849224,173.10153994470167,2191.449
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.682,60322,-,179.8064756271973,-,1.8489037868140883,179.12552480807432,2231.117
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.599,60221,-,184.21730755429635,-,1.8510160975169143,179.09875278953922,2239.674
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.350,60110,-,183.1212525436163,-,1.8416045218514707,179.28772029272275,2271.010
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.573,60812,-,175.9641197374567,-,1.8453541591977651,177.27559410245243,2243.844
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.830,61604,-,168.68897748931036,-,1.8477849683430532,173.80492424100223,2214.805
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,20.203,62664,-,163.47780907333723,-,1.8512767141063122,172.4416935308311,2173.746
43200,stat,500,maps/small_map.geojson,semaphore,100,500,0,19.346,59504,-,193.22982619768686,-,1.8489219057941304,181.46759914864475,2270.576
